id,sequence,task,choices,response,domain,response_type,group
0vg9s78,10,No;butchers;packers/Some;packers;tutors,All;butchers;tutors|All;tutors;butchers|Some;butchers;tutors|Some;tutors;butchers|No;butchers;tutors|No;tutors;butchers|Some not;butchers;tutors|Some not;tutors;butchers|NVC,No;butchers;tutors,syllogistic,single-choice,a
0vg9s78,11,Some;riders;joggers/No;riders;counselors,All;joggers;counselors|All;counselors;joggers|Some;joggers;counselors|Some;counselors;joggers|No;joggers;counselors|No;counselors;joggers|Some not;joggers;counselors|Some not;counselors;joggers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,12,All;editors;soldiers/Some not;soldiers;florists,All;editors;florists|All;florists;editors|Some;editors;florists|Some;florists;editors|No;editors;florists|No;florists;editors|Some not;editors;florists|Some not;florists;editors|NVC,Some;editors;florists,syllogistic,single-choice,a
0vg9s78,13,No;skaters;climbers/Some not;climbers;therapists,All;skaters;therapists|All;therapists;skaters|Some;skaters;therapists|Some;therapists;skaters|No;skaters;therapists|No;therapists;skaters|Some not;skaters;therapists|Some not;therapists;skaters|NVC,NVC,syllogistic,single-choice,a
0vg9s78,14,All;bankers;golfers/No;teachers;golfers,All;bankers;teachers|All;teachers;bankers|Some;bankers;teachers|Some;teachers;bankers|No;bankers;teachers|No;teachers;bankers|Some not;bankers;teachers|Some not;teachers;bankers|NVC,No;teachers;bankers,syllogistic,single-choice,a
0vg9s78,15,Some;travelers;novelists/Some not;analysts;travelers,All;novelists;analysts|All;analysts;novelists|Some;novelists;analysts|Some;analysts;novelists|No;novelists;analysts|No;analysts;novelists|Some not;novelists;analysts|Some not;analysts;novelists|NVC,NVC,syllogistic,single-choice,a
0vg9s78,16,Some;hikers;drivers/Some;writers;drivers,All;hikers;writers|All;writers;hikers|Some;hikers;writers|Some;writers;hikers|No;hikers;writers|No;writers;hikers|Some not;hikers;writers|Some not;writers;hikers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,17,Some not;models;managers/All;managers;clerks,All;models;clerks|All;clerks;models|Some;models;clerks|Some;clerks;models|No;models;clerks|No;clerks;models|Some not;models;clerks|Some not;clerks;models|NVC,NVC,syllogistic,single-choice,a
0vg9s78,18,Some not;sailors;chemists/No;chemists;potters,All;sailors;potters|All;potters;sailors|Some;sailors;potters|Some;potters;sailors|No;sailors;potters|No;potters;sailors|Some not;sailors;potters|Some not;potters;sailors|NVC,NVC,syllogistic,single-choice,a
0vg9s78,19,No;butchers;packers/No;tutors;packers,All;butchers;tutors|All;tutors;butchers|Some;butchers;tutors|Some;tutors;butchers|No;butchers;tutors|No;tutors;butchers|Some not;butchers;tutors|Some not;tutors;butchers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,20,No;sailors;chemists/All;potters;sailors,All;chemists;potters|All;potters;chemists|Some;chemists;potters|Some;potters;chemists|No;chemists;potters|No;potters;chemists|Some not;chemists;potters|Some not;potters;chemists|NVC,No;potters;chemists,syllogistic,single-choice,a
0vg9s78,21,Some;scholars;farmers/No;farmers;assistants,All;scholars;assistants|All;assistants;scholars|Some;scholars;assistants|Some;assistants;scholars|No;scholars;assistants|No;assistants;scholars|Some not;scholars;assistants|Some not;assistants;scholars|NVC,Some not;scholars;assistants,syllogistic,single-choice,a
0vg9s78,22,Some;surfers;artists/All;planners;artists,All;surfers;planners|All;planners;surfers|Some;surfers;planners|Some;planners;surfers|No;surfers;planners|No;planners;surfers|Some not;surfers;planners|Some not;planners;surfers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,23,Some not;joggers;riders/No;counselors;joggers,All;riders;counselors|All;counselors;riders|Some;riders;counselors|Some;counselors;riders|No;riders;counselors|No;counselors;riders|Some not;riders;counselors|Some not;counselors;riders|NVC,NVC,syllogistic,single-choice,a
0vg9s78,24,All;boxers;typists/All;dancers;boxers,All;typists;dancers|All;dancers;typists|Some;typists;dancers|Some;dancers;typists|No;typists;dancers|No;dancers;typists|Some not;typists;dancers|Some not;dancers;typists|NVC,All;dancers;typists,syllogistic,single-choice,a
0vg9s78,25,All;secretaries;brokers/Some not;agents;secretaries,All;brokers;agents|All;agents;brokers|Some;brokers;agents|Some;agents;brokers|No;brokers;agents|No;agents;brokers|Some not;brokers;agents|Some not;agents;brokers|NVC,Some not;agents;brokers,syllogistic,single-choice,a
0vg9s78,26,Some;engineers;fencers/No;campers;fencers,All;engineers;campers|All;campers;engineers|Some;engineers;campers|Some;campers;engineers|No;engineers;campers|No;campers;engineers|Some not;engineers;campers|Some not;campers;engineers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,27,Some not;painters;workers/Some;painters;actors,All;workers;actors|All;actors;workers|Some;workers;actors|Some;actors;workers|No;workers;actors|No;actors;workers|Some not;workers;actors|Some not;actors;workers|NVC,Some not;workers;actors,syllogistic,single-choice,a
0vg9s78,28,No;nurses;drillers/No;actors;nurses,All;drillers;actors|All;actors;drillers|Some;drillers;actors|Some;actors;drillers|No;drillers;actors|No;actors;drillers|Some not;drillers;actors|Some not;actors;drillers|NVC,No;actors;drillers,syllogistic,single-choice,a
0vg9s78,29,All;skaters;poets/All;skaters;miners,All;poets;miners|All;miners;poets|Some;poets;miners|Some;miners;poets|No;poets;miners|No;miners;poets|Some not;poets;miners|Some not;miners;poets|NVC,NVC,syllogistic,single-choice,a
0vg9s78,30,Some not;poets;miners/No;skaters;miners,All;poets;skaters|All;skaters;poets|Some;poets;skaters|Some;skaters;poets|No;poets;skaters|No;skaters;poets|Some not;poets;skaters|Some not;skaters;poets|NVC,NVC,syllogistic,single-choice,a
0vg9s78,31,Some;athletes;lawyers/All;hunters;athletes,All;lawyers;hunters|All;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|NVC,Some;hunters;lawyers,syllogistic,single-choice,a
0vg9s78,32,All;jugglers;investors/No;barbers;jugglers,All;investors;barbers|All;barbers;investors|Some;investors;barbers|Some;barbers;investors|No;investors;barbers|No;barbers;investors|Some not;investors;barbers|Some not;barbers;investors|NVC,No;barbers;investors,syllogistic,single-choice,a
0vg9s78,33,Some not;scientists;chefs/Some;runners;scientists,All;chefs;runners|All;runners;chefs|Some;chefs;runners|Some;runners;chefs|No;chefs;runners|No;runners;chefs|Some not;chefs;runners|Some not;runners;chefs|NVC,Some;runners;chefs,syllogistic,single-choice,a
0vg9s78,34,Some;analysts;travelers/Some not;novelists;travelers,All;analysts;novelists|All;novelists;analysts|Some;analysts;novelists|Some;novelists;analysts|No;analysts;novelists|No;novelists;analysts|Some not;analysts;novelists|Some not;novelists;analysts|NVC,NVC,syllogistic,single-choice,a
0vg9s78,35,Some;artists;surfers/All;artists;planners,All;surfers;planners|All;planners;surfers|Some;surfers;planners|Some;planners;surfers|No;surfers;planners|No;planners;surfers|Some not;surfers;planners|Some not;planners;surfers|NVC,Some;surfers;planners,syllogistic,single-choice,a
0vg9s78,36,Some not;actuaries;opticians/Some not;opticians;boxers,All;actuaries;boxers|All;boxers;actuaries|Some;actuaries;boxers|Some;boxers;actuaries|No;actuaries;boxers|No;boxers;actuaries|Some not;actuaries;boxers|Some not;boxers;actuaries|NVC,NVC,syllogistic,single-choice,a
0vg9s78,37,Some;swimmers;mayors/Some;cooks;swimmers,All;mayors;cooks|All;cooks;mayors|Some;mayors;cooks|Some;cooks;mayors|No;mayors;cooks|No;cooks;mayors|Some not;mayors;cooks|Some not;cooks;mayors|NVC,NVC,syllogistic,single-choice,a
0vg9s78,38,Some not;judges;porters/All;judges;brewers,All;porters;brewers|All;brewers;porters|Some;porters;brewers|Some;brewers;porters|No;porters;brewers|No;brewers;porters|Some not;porters;brewers|Some not;brewers;porters|NVC,Some not;brewers;porters,syllogistic,single-choice,a
0vg9s78,39,No;dentists;lifeguards/Some not;plumbers;lifeguards,All;dentists;plumbers|All;plumbers;dentists|Some;dentists;plumbers|Some;plumbers;dentists|No;dentists;plumbers|No;plumbers;dentists|Some not;dentists;plumbers|Some not;plumbers;dentists|NVC,NVC,syllogistic,single-choice,a
0vg9s78,40,Some not;gamblers;bakers/Some not;sculptors;gamblers,All;bakers;sculptors|All;sculptors;bakers|Some;bakers;sculptors|Some;sculptors;bakers|No;bakers;sculptors|No;sculptors;bakers|Some not;bakers;sculptors|Some not;sculptors;bakers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,41,Some;painters;cleaners/All;cleaners;auditors,All;painters;auditors|All;auditors;painters|Some;painters;auditors|Some;auditors;painters|No;painters;auditors|No;auditors;painters|Some not;painters;auditors|Some not;auditors;painters|NVC,Some;painters;auditors,syllogistic,single-choice,a
0vg9s78,42,No;actors;workers/All;painters;workers,All;actors;painters|All;painters;actors|Some;actors;painters|Some;painters;actors|No;actors;painters|No;painters;actors|Some not;actors;painters|Some not;painters;actors|NVC,NVC,syllogistic,single-choice,a
0vg9s78,43,All;poets;waiters/Some not;poets;cashiers,All;waiters;cashiers|All;cashiers;waiters|Some;waiters;cashiers|Some;cashiers;waiters|No;waiters;cashiers|No;cashiers;waiters|Some not;waiters;cashiers|Some not;cashiers;waiters|NVC,Some not;waiters;cashiers,syllogistic,single-choice,a
0vg9s78,44,Some not;barbers;investors/Some;investors;jugglers,All;barbers;jugglers|All;jugglers;barbers|Some;barbers;jugglers|Some;jugglers;barbers|No;barbers;jugglers|No;jugglers;barbers|Some not;barbers;jugglers|Some not;jugglers;barbers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,45,No;nurses;actors/No;actors;drillers,All;nurses;drillers|All;drillers;nurses|Some;nurses;drillers|Some;drillers;nurses|No;nurses;drillers|No;drillers;nurses|Some not;nurses;drillers|Some not;drillers;nurses|NVC,Some;nurses;drillers,syllogistic,single-choice,a
0vg9s78,46,All;dancers;boxers/Some;typists;dancers,All;boxers;typists|All;typists;boxers|Some;boxers;typists|Some;typists;boxers|No;boxers;typists|No;typists;boxers|Some not;boxers;typists|Some not;typists;boxers|NVC,Some;typists;boxers,syllogistic,single-choice,a
0vg9s78,47,No;designers;trainers/Some;architects;designers,All;trainers;architects|All;architects;trainers|Some;trainers;architects|Some;architects;trainers|No;trainers;architects|No;architects;trainers|Some not;trainers;architects|Some not;architects;trainers|NVC,Some not;architects;trainers,syllogistic,single-choice,a
0vg9s78,48,All;trainers;architects/All;architects;designers,All;trainers;designers|All;designers;trainers|Some;trainers;designers|Some;designers;trainers|No;trainers;designers|No;designers;trainers|Some not;trainers;designers|Some not;designers;trainers|NVC,All;trainers;designers,syllogistic,single-choice,a
0vg9s78,49,No;cashiers;waiters/No;cashiers;poets,All;waiters;poets|All;poets;waiters|Some;waiters;poets|Some;poets;waiters|No;waiters;poets|No;poets;waiters|Some not;waiters;poets|Some not;poets;waiters|NVC,NVC,syllogistic,single-choice,a
0vg9s78,50,Some not;climbers;therapists/Some not;skaters;therapists,All;climbers;skaters|All;skaters;climbers|Some;climbers;skaters|Some;skaters;climbers|No;climbers;skaters|No;skaters;climbers|Some not;climbers;skaters|Some not;skaters;climbers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,51,Some;clerks;managers/Some;managers;models,All;clerks;models|All;models;clerks|Some;clerks;models|Some;models;clerks|No;clerks;models|No;models;clerks|Some not;clerks;models|Some not;models;clerks|NVC,NVC,syllogistic,single-choice,a
0vg9s78,52,Some not;dentists;plumbers/All;lifeguards;plumbers,All;dentists;lifeguards|All;lifeguards;dentists|Some;dentists;lifeguards|Some;lifeguards;dentists|No;dentists;lifeguards|No;lifeguards;dentists|Some not;dentists;lifeguards|Some not;lifeguards;dentists|NVC,Some not;dentists;lifeguards,syllogistic,single-choice,a
0vg9s78,53,All;hunters;athletes/No;athletes;lawyers,All;hunters;lawyers|All;lawyers;hunters|Some;hunters;lawyers|Some;lawyers;hunters|No;hunters;lawyers|No;lawyers;hunters|Some not;hunters;lawyers|Some not;lawyers;hunters|NVC,No;hunters;lawyers,syllogistic,single-choice,a
0vg9s78,54,Some not;brokers;agents/No;brokers;secretaries,All;agents;secretaries|All;secretaries;agents|Some;agents;secretaries|Some;secretaries;agents|No;agents;secretaries|No;secretaries;agents|Some not;agents;secretaries|Some not;secretaries;agents|NVC,NVC,syllogistic,single-choice,a
0vg9s78,55,Some;chefs;scientists/Some not;scientists;runners,All;chefs;runners|All;runners;chefs|Some;chefs;runners|Some;runners;chefs|No;chefs;runners|No;runners;chefs|Some not;chefs;runners|Some not;runners;chefs|NVC,NVC,syllogistic,single-choice,a
0vg9s78,56,No;swimmers;cooks/All;swimmers;mayors,All;cooks;mayors|All;mayors;cooks|Some;cooks;mayors|Some;mayors;cooks|No;cooks;mayors|No;mayors;cooks|Some not;cooks;mayors|Some not;mayors;cooks|NVC,No;cooks;mayors,syllogistic,single-choice,a
0vg9s78,57,No;climbers;tellers/Some not;climbers;doctors,All;tellers;doctors|All;doctors;tellers|Some;tellers;doctors|Some;doctors;tellers|No;tellers;doctors|No;doctors;tellers|Some not;tellers;doctors|Some not;doctors;tellers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,58,No;bankers;golfers/All;golfers;teachers,All;bankers;teachers|All;teachers;bankers|Some;bankers;teachers|Some;teachers;bankers|No;bankers;teachers|No;teachers;bankers|Some not;bankers;teachers|Some not;teachers;bankers|NVC,No;bankers;teachers,syllogistic,single-choice,a
0vg9s78,59,All;sculptors;bakers/Some;sculptors;gamblers,All;bakers;gamblers|All;gamblers;bakers|Some;bakers;gamblers|Some;gamblers;bakers|No;bakers;gamblers|No;gamblers;bakers|Some not;bakers;gamblers|Some not;gamblers;bakers|NVC,Some;bakers;gamblers,syllogistic,single-choice,a
0vg9s78,60,All;cyclists;buyers/Some not;students;buyers,All;cyclists;students|All;students;cyclists|Some;cyclists;students|Some;students;cyclists|No;cyclists;students|No;students;cyclists|Some not;cyclists;students|Some not;students;cyclists|NVC,Some not;students;cyclists,syllogistic,single-choice,a
0vg9s78,61,Some not;climbers;tellers/Some;doctors;tellers,All;climbers;doctors|All;doctors;climbers|Some;climbers;doctors|Some;doctors;climbers|No;climbers;doctors|No;doctors;climbers|Some not;climbers;doctors|Some not;doctors;climbers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,62,Some not;fencers;campers/Some not;fencers;engineers,All;campers;engineers|All;engineers;campers|Some;campers;engineers|Some;engineers;campers|No;campers;engineers|No;engineers;campers|Some not;campers;engineers|Some not;engineers;campers|NVC,NVC,syllogistic,single-choice,a
0vg9s78,63,No;singers;tailors/Some not;pilots;singers,All;tailors;pilots|All;pilots;tailors|Some;tailors;pilots|Some;pilots;tailors|No;tailors;pilots|No;pilots;tailors|Some not;tailors;pilots|Some not;pilots;tailors|NVC,NVC,syllogistic,single-choice,a
2ynrGV8,0,No;potters;sailors/All;chemists;sailors,All;potters;chemists|All;chemists;potters|Some;potters;chemists|Some;chemists;potters|No;potters;chemists|No;chemists;potters|Some not;potters;chemists|Some not;chemists;potters|NVC,No;chemists;potters,syllogistic,single-choice,a
2ynrGV8,1,No;dentists;plumbers/No;plumbers;lifeguards,All;dentists;lifeguards|All;lifeguards;dentists|Some;dentists;lifeguards|Some;lifeguards;dentists|No;dentists;lifeguards|No;lifeguards;dentists|Some not;dentists;lifeguards|Some not;lifeguards;dentists|NVC,Some;lifeguards;dentists,syllogistic,single-choice,a
2ynrGV8,2,Some not;barbers;jugglers/Some not;investors;barbers,All;jugglers;investors|All;investors;jugglers|Some;jugglers;investors|Some;investors;jugglers|No;jugglers;investors|No;investors;jugglers|Some not;jugglers;investors|Some not;investors;jugglers|NVC,Some not;investors;jugglers,syllogistic,single-choice,a
2ynrGV8,3,Some not;hunters;lawyers/Some;athletes;hunters,All;lawyers;athletes|All;athletes;lawyers|Some;lawyers;athletes|Some;athletes;lawyers|No;lawyers;athletes|No;athletes;lawyers|Some not;lawyers;athletes|Some not;athletes;lawyers|NVC,Some not;athletes;lawyers,syllogistic,single-choice,a
2ynrGV8,4,All;tellers;doctors/Some not;climbers;tellers,All;doctors;climbers|All;climbers;doctors|Some;doctors;climbers|Some;climbers;doctors|No;doctors;climbers|No;climbers;doctors|Some not;doctors;climbers|Some not;climbers;doctors|NVC,No;climbers;doctors,syllogistic,single-choice,a
2ynrGV8,5,Some;linguists;carpenters/All;linguists;divers,All;carpenters;divers|All;divers;carpenters|Some;carpenters;divers|Some;divers;carpenters|No;carpenters;divers|No;divers;carpenters|Some not;carpenters;divers|Some not;divers;carpenters|NVC,Some;divers;carpenters,syllogistic,single-choice,a
2ynrGV8,6,No;lifeguards;plumbers/Some not;dentists;lifeguards,All;plumbers;dentists|All;dentists;plumbers|Some;plumbers;dentists|Some;dentists;plumbers|No;plumbers;dentists|No;dentists;plumbers|Some not;plumbers;dentists|Some not;dentists;plumbers|NVC,Some;dentists;plumbers,syllogistic,single-choice,a
2ynrGV8,7,All;lawyers;athletes/No;hunters;athletes,All;lawyers;hunters|All;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|NVC,No;lawyers;hunters,syllogistic,single-choice,a
2ynrGV8,8,Some;riders;joggers/Some;joggers;counselors,All;riders;counselors|All;counselors;riders|Some;riders;counselors|Some;counselors;riders|No;riders;counselors|No;counselors;riders|Some not;riders;counselors|Some not;counselors;riders|NVC,Some;riders;counselors,syllogistic,single-choice,a
2ynrGV8,9,Some;sculptors;gamblers/Some;bakers;gamblers,All;sculptors;bakers|All;bakers;sculptors|Some;sculptors;bakers|Some;bakers;sculptors|No;sculptors;bakers|No;bakers;sculptors|Some not;sculptors;bakers|Some not;bakers;sculptors|NVC,Some not;sculptors;bakers,syllogistic,single-choice,a
2ynrGV8,10,Some;surfers;planners/Some not;artists;surfers,All;planners;artists|All;artists;planners|Some;planners;artists|Some;artists;planners|No;planners;artists|No;artists;planners|Some not;planners;artists|Some not;artists;planners|NVC,Some;planners;artists,syllogistic,single-choice,a
2ynrGV8,11,Some;golfers;bankers/No;bankers;teachers,All;golfers;teachers|All;teachers;golfers|Some;golfers;teachers|Some;teachers;golfers|No;golfers;teachers|No;teachers;golfers|Some not;golfers;teachers|Some not;teachers;golfers|NVC,No;teachers;golfers,syllogistic,single-choice,a
2ynrGV8,12,Some not;pilots;tailors/Some not;pilots;singers,All;tailors;singers|All;singers;tailors|Some;tailors;singers|Some;singers;tailors|No;tailors;singers|No;singers;tailors|Some not;tailors;singers|Some not;singers;tailors|NVC,No;tailors;singers,syllogistic,single-choice,a
2ynrGV8,13,Some not;analysts;novelists/Some not;novelists;travelers,All;analysts;travelers|All;travelers;analysts|Some;analysts;travelers|Some;travelers;analysts|No;analysts;travelers|No;travelers;analysts|Some not;analysts;travelers|Some not;travelers;analysts|NVC,No;analysts;travelers,syllogistic,single-choice,a
2ynrGV8,14,Some;managers;clerks/All;models;managers,All;clerks;models|All;models;clerks|Some;clerks;models|Some;models;clerks|No;clerks;models|No;models;clerks|Some not;clerks;models|Some not;models;clerks|NVC,Some;clerks;models,syllogistic,single-choice,a
2ynrGV8,15,No;drillers;actors/Some;drillers;nurses,All;actors;nurses|All;nurses;actors|Some;actors;nurses|Some;nurses;actors|No;actors;nurses|No;nurses;actors|Some not;actors;nurses|Some not;nurses;actors|NVC,Some;actors;nurses,syllogistic,single-choice,a
2ynrGV8,16,All;climbers;tellers/All;doctors;tellers,All;climbers;doctors|All;doctors;climbers|Some;climbers;doctors|Some;doctors;climbers|No;climbers;doctors|No;doctors;climbers|Some not;climbers;doctors|Some not;doctors;climbers|NVC,All;doctors;climbers,syllogistic,single-choice,a
2ynrGV8,17,No;packers;butchers/Some;tutors;butchers,All;packers;tutors|All;tutors;packers|Some;packers;tutors|Some;tutors;packers|No;packers;tutors|No;tutors;packers|Some not;packers;tutors|Some not;tutors;packers|NVC,Some not;packers;tutors,syllogistic,single-choice,a
2ynrGV8,18,All;buyers;cyclists/Some;students;cyclists,All;buyers;students|All;students;buyers|Some;buyers;students|Some;students;buyers|No;buyers;students|No;students;buyers|Some not;buyers;students|Some not;students;buyers|NVC,Some;students;buyers,syllogistic,single-choice,a
2ynrGV8,19,Some not;skaters;climbers/No;skaters;therapists,All;climbers;therapists|All;therapists;climbers|Some;climbers;therapists|Some;therapists;climbers|No;climbers;therapists|No;therapists;climbers|Some not;climbers;therapists|Some not;therapists;climbers|NVC,Some;therapists;climbers,syllogistic,single-choice,a
2ynrGV8,20,Some not;campers;fencers/No;engineers;campers,All;fencers;engineers|All;engineers;fencers|Some;fencers;engineers|Some;engineers;fencers|No;fencers;engineers|No;engineers;fencers|Some not;fencers;engineers|Some not;engineers;fencers|NVC,Some not;fencers;engineers,syllogistic,single-choice,a
2ynrGV8,21,All;painters;cleaners/No;painters;auditors,All;cleaners;auditors|All;auditors;cleaners|Some;cleaners;auditors|Some;auditors;cleaners|No;cleaners;auditors|No;auditors;cleaners|Some not;cleaners;auditors|Some not;auditors;cleaners|NVC,Some not;cleaners;auditors,syllogistic,single-choice,a
2ynrGV8,22,Some not;tutors;butchers/All;tutors;packers,All;butchers;packers|All;packers;butchers|Some;butchers;packers|Some;packers;butchers|No;butchers;packers|No;packers;butchers|Some not;butchers;packers|Some not;packers;butchers|NVC,Some;packers;butchers,syllogistic,single-choice,a
2ynrGV8,23,All;investors;barbers/Some not;jugglers;barbers,All;investors;jugglers|All;jugglers;investors|Some;investors;jugglers|Some;jugglers;investors|No;investors;jugglers|No;jugglers;investors|Some not;investors;jugglers|Some not;jugglers;investors|NVC,Some;investors;jugglers,syllogistic,single-choice,a
2ynrGV8,24,All;planners;artists/All;artists;surfers,All;planners;surfers|All;surfers;planners|Some;planners;surfers|Some;surfers;planners|No;planners;surfers|No;surfers;planners|Some not;planners;surfers|Some not;surfers;planners|NVC,All;planners;surfers,syllogistic,single-choice,a
2ynrGV8,25,Some;campers;fencers/Some;engineers;campers,All;fencers;engineers|All;engineers;fencers|Some;fencers;engineers|Some;engineers;fencers|No;fencers;engineers|No;engineers;fencers|Some not;fencers;engineers|Some not;engineers;fencers|NVC,Some;fencers;engineers,syllogistic,single-choice,a
2ynrGV8,26,No;buyers;students/Some not;cyclists;students,All;buyers;cyclists|All;cyclists;buyers|Some;buyers;cyclists|Some;cyclists;buyers|No;buyers;cyclists|No;cyclists;buyers|Some not;buyers;cyclists|Some not;cyclists;buyers|NVC,No;buyers;cyclists,syllogistic,single-choice,a
2ynrGV8,27,Some not;typists;boxers/All;dancers;typists,All;boxers;dancers|All;dancers;boxers|Some;boxers;dancers|Some;dancers;boxers|No;boxers;dancers|No;dancers;boxers|Some not;boxers;dancers|Some not;dancers;boxers|NVC,Some not;dancers;boxers,syllogistic,single-choice,a
2ynrGV8,28,No;secretaries;agents/No;brokers;agents,All;secretaries;brokers|All;brokers;secretaries|Some;secretaries;brokers|Some;brokers;secretaries|No;secretaries;brokers|No;brokers;secretaries|Some not;secretaries;brokers|Some not;brokers;secretaries|NVC,No;secretaries;brokers,syllogistic,single-choice,a
2ynrGV8,29,Some;chemists;potters/No;sailors;potters,All;chemists;sailors|All;sailors;chemists|Some;chemists;sailors|Some;sailors;chemists|No;chemists;sailors|No;sailors;chemists|Some not;chemists;sailors|Some not;sailors;chemists|NVC,Some not;sailors;chemists,syllogistic,single-choice,a
2ynrGV8,30,Some;managers;clerks/No;models;managers,All;clerks;models|All;models;clerks|Some;clerks;models|Some;models;clerks|No;clerks;models|No;models;clerks|Some not;clerks;models|Some not;models;clerks|NVC,Some;models;clerks,syllogistic,single-choice,a
2ynrGV8,31,All;skaters;miners/Some;poets;skaters,All;miners;poets|All;poets;miners|Some;miners;poets|Some;poets;miners|No;miners;poets|No;poets;miners|Some not;miners;poets|Some not;poets;miners|NVC,Some;poets;miners,syllogistic,single-choice,a
2ynrGV8,32,No;porters;brewers/Some not;brewers;judges,All;porters;judges|All;judges;porters|Some;porters;judges|Some;judges;porters|No;porters;judges|No;judges;porters|Some not;porters;judges|Some not;judges;porters|NVC,Some not;porters;judges,syllogistic,single-choice,a
2ynrGV8,33,All;travelers;novelists/Some not;travelers;analysts,All;novelists;analysts|All;analysts;novelists|Some;novelists;analysts|Some;analysts;novelists|No;novelists;analysts|No;analysts;novelists|Some not;novelists;analysts|Some not;analysts;novelists|NVC,Some not;analysts;novelists,syllogistic,single-choice,a
2ynrGV8,34,No;actuaries;opticians/No;boxers;actuaries,All;opticians;boxers|All;boxers;opticians|Some;opticians;boxers|Some;boxers;opticians|No;opticians;boxers|No;boxers;opticians|Some not;opticians;boxers|Some not;boxers;opticians|NVC,No;boxers;opticians,syllogistic,single-choice,a
2ynrGV8,35,Some not;pilots;tailors/Some;tailors;singers,All;pilots;singers|All;singers;pilots|Some;pilots;singers|Some;singers;pilots|No;pilots;singers|No;singers;pilots|Some not;pilots;singers|Some not;singers;pilots|NVC,Some;pilots;singers,syllogistic,single-choice,a
